Hydrolab MS5 47418,,,,,,,
Log File Name : Vogel_Lake_47418,,,,,,,
Setup Date (M/D/YYYY) : 5/27/2021,,,,,,,
Setup Time (HH:MM:SS) : 10:17:08,,,,,,,
Starting Date (M/D/YYYY) : 5/27/2021,,,,,,,
Starting Time (HH:MM:SS) : 12:00:00,,,,,,,
Stopping Date (M/D/YYYY) : 9/27/2021,,,,,,,
Stopping Time (HH:MM:SS) : 12:00:00,,,,,,,
Interval (HH:MM:SS) : 00:15:00,,,,,,,
Sensor warmup (HH:MM:SS) : 00:02:00,,,,,,,
Circltr warmup (HH:MM:SS) : 00:02:00,,,,,,,
,,,,,,,
Date,Time,Temp,pH,SpCond,TurbSC,LDO,IBatt
M/D/YYYY,HH:MM:SS,?C,Units,?S/cm,NTU,mg/l,%Left
,,,,,,,
5/27/2021,12:00:00,22.08,8.12,0,0,0.22,0
5/27/2021,12:15:00,21.39,8.04,0,0,0.2,0
5/27/2021,12:30:00,19.56,8.03,0,0,0.16,0
5/27/2021,12:45:00,17.59,7.78,0,0,0.12,0
5/27/2021,13:00:00,19.09,7.98,0,0,0.15,0
5/27/2021,13:15:00,15,8.46,75,0,0.06,0
5/27/2021,13:30:00,15.04,8.31,75,0,0.06,0
5/27/2021,13:45:00,15.05,8.35,75,0,0.06,0
5/27/2021,14:00:00,15.05,8.32,75,0,0.06,0
5/27/2021,14:15:00,15.08,8.35,75,0,0.06,0
5/27/2021,14:30:00,15.1,8.43,75,0,0.06,0
5/27/2021,14:45:00,15.15,8.46,75,0,0.06,0
5/27/2021,15:00:00,15.16,8.52,75,0,0.06,0
5/27/2021,15:15:00,15.17,8.54,75,0,0.06,0
5/27/2021,15:30:00,15.18,8.57,75,0,0.06,0
5/27/2021,15:45:00,15.21,8.61,75,0,0.06,0
5/27/2021,16:00:00,15.23,8.64,75,0,0.06,0
5/27/2021,16:15:00,15.26,8.66,75,0,0.07,0
5/27/2021,16:30:00,15.27,8.67,75,0,0.07,0
5/27/2021,16:45:00,15.27,8.72,75,0,0.07,0
5/27/2021,17:00:00,15.21,8.73,75,0,0.06,0
5/27/2021,17:15:00,15.28,8.74,75,0,0.07,0
5/27/2021,17:30:00,15.34,8.74,75,0,0.07,0
5/27/2021,17:45:00,15.33,8.78,75,0,0.07,0
5/27/2021,18:00:00,15.4,8.79,75,0,0.07,0
5/27/2021,18:15:00,15.36,8.78,75,0,0.07,0
